m,C,m,m/s,m,kW/m2
tmp-z,tmp,vel-z,vel,rhf-x,rhf
 0.0000000E+000, 8.4671958E+002, 0.0000000E+000, 5.0459926E-002, 2.0000000E-001, 6.6144425E+000
 5.1724138E-002, 9.5593385E+002, 5.1724138E-002, 9.9642960E-001, 2.2412069E-001, 4.9023805E+000
 1.0344828E-001, 9.6671481E+002, 1.0344828E-001, 1.9292072E+000, 2.4824138E-001, 3.6680411E+000
 1.5517241E-001, 9.3117691E+002, 1.5517241E-001, 2.5855603E+000, 2.7236207E-001, 3.6680411E+000
 2.0689655E-001, 8.8317081E+002, 2.0689655E-001, 2.9687292E+000, 2.9648276E-001, 2.7495861E+000
 2.5862069E-001, 8.3713747E+002, 2.5862069E-001, 3.2465090E+000, 3.2060345E-001, 2.7495861E+000
 3.1034483E-001, 7.9114218E+002, 3.1034483E-001, 3.3992785E+000, 3.4472414E-001, 2.0526141E+000
 3.6206897E-001, 7.4270800E+002, 3.6206897E-001, 3.5651113E+000, 3.6884483E-001, 2.0526141E+000
 4.1379310E-001, 6.8327787E+002, 4.1379310E-001, 3.6585206E+000, 3.9296552E-001, 1.5192082E+000
 4.6551724E-001, 6.2444613E+002, 4.6551724E-001, 3.7244883E+000, 4.1708621E-001, 1.5192082E+000
 5.1724138E-001, 5.6560049E+002, 5.1724138E-001, 3.7163809E+000, 4.4120690E-001, 1.1113390E+000
 5.6896552E-001, 5.1549771E+002, 5.6896552E-001, 3.7147379E+000, 4.6532759E-001, 1.1113390E+000
 6.2068966E-001, 4.7063417E+002, 6.2068966E-001, 3.7002543E+000, 4.8944828E-001, 1.1113390E+000
 6.7241379E-001, 4.3136150E+002, 6.7241379E-001, 3.7003846E+000, 5.1356897E-001, 8.0177372E-001
 7.2413793E-001, 3.9518860E+002, 7.2413793E-001, 3.6607097E+000, 5.3768966E-001, 8.0177372E-001
 7.7586207E-001, 3.6049478E+002, 7.7586207E-001, 3.6020724E+000, 5.6181034E-001, 5.6950866E-001
 8.2758621E-001, 3.2846672E+002, 8.2758621E-001, 3.5597390E+000, 5.8593103E-001, 5.6950866E-001
 8.7931034E-001, 3.0186060E+002, 8.7931034E-001, 3.4945150E+000, 6.1005172E-001, 5.6950866E-001
 9.3103448E-001, 2.7802753E+002, 9.3103448E-001, 3.4678670E+000, 6.3417241E-001, 5.6950866E-001
 9.8275862E-001, 2.5875661E+002, 9.8275862E-001, 3.4271025E+000, 6.5829310E-001, 3.9767058E-001
 1.0344828E+000, 2.3892960E+002, 1.0344828E+000, 3.3798573E+000, 6.8241379E-001, 3.9767058E-001
 1.0862069E+000, 2.1948201E+002, 1.0862069E+000, 3.3085748E+000, 7.0653448E-001, 3.9767058E-001
 1.1379310E+000, 2.0340377E+002, 1.1379310E+000, 3.2491138E+000, 7.3065517E-001, 2.7255601E-001
 1.1896552E+000, 1.8981876E+002, 1.1896552E+000, 3.1945991E+000, 7.5477586E-001, 2.7255601E-001
 1.2413793E+000, 1.7943237E+002, 1.2413793E+000, 3.1419231E+000, 7.7889655E-001, 2.7255601E-001
 1.2931034E+000, 1.7067205E+002, 1.2931034E+000, 3.1062157E+000, 8.0301724E-001, 2.7255601E-001
 1.3448276E+000, 1.6330565E+002, 1.3448276E+000, 3.0797983E+000, 8.2713793E-001, 1.8307435E-001
 1.3965517E+000, 1.5668705E+002, 1.3965517E+000, 3.0126685E+000, 8.5125862E-001, 1.8307435E-001
 1.4482759E+000, 1.4916777E+002, 1.4482759E+000, 2.9758202E+000, 8.7537931E-001, 1.8307435E-001
 1.4995000E+000, 1.4343552E+002, 1.4995000E+000, 2.8734444E+000, 8.9950000E-001, 1.8307435E-001
