m,C,m,m/s,m,m/s,m,m/s,m,m/s
T_door-z,T_door,Vel_door-z,Vel_door,U_door-z,U_door,V_door-z,V_door,W_door-z,W_door
 4.177E-04, 3.077E+01, 4.177E-04, 8.919E-01, 4.177E-04,-7.156E-02, 4.177E-04, 9.116E-01, 4.177E-04,-1.454E-02
 1.300E-01, 2.927E+01, 1.300E-01, 9.051E-01, 1.300E-01,-3.732E-02, 1.300E-01, 9.255E-01, 1.300E-01,-5.105E-02
 2.600E-01, 2.930E+01, 2.600E-01, 8.760E-01, 2.600E-01,-3.166E-03, 2.600E-01, 8.866E-01, 2.600E-01,-1.310E-01
 3.900E-01, 2.938E+01, 3.900E-01, 8.346E-01, 3.900E-01, 1.524E-02, 3.900E-01, 8.346E-01, 3.900E-01,-1.905E-01
 5.200E-01, 2.942E+01, 5.200E-01, 7.794E-01, 5.200E-01, 4.109E-03, 5.200E-01, 7.519E-01, 5.200E-01,-2.654E-01
 6.500E-01, 2.941E+01, 6.500E-01, 7.172E-01, 6.500E-01, 1.273E-03, 6.500E-01, 6.721E-01, 6.500E-01,-2.873E-01
 7.800E-01, 2.967E+01, 7.800E-01, 6.326E-01, 7.800E-01, 2.333E-02, 7.800E-01, 5.782E-01, 7.800E-01,-2.584E-01
 9.100E-01, 6.318E+01, 9.100E-01, 3.023E-01, 9.100E-01, 4.218E-02, 9.100E-01, 8.274E-02, 9.100E-01,-1.796E-02
 1.040E+00, 9.898E+01, 1.040E+00, 4.760E-01, 1.040E+00, 8.693E-02, 1.040E+00,-3.301E-01, 1.040E+00, 1.692E-01
 1.170E+00, 1.095E+02, 1.170E+00, 6.593E-01, 1.170E+00, 6.861E-02, 1.170E+00,-5.120E-01, 1.170E+00, 2.606E-01
 1.300E+00, 1.150E+02, 1.300E+00, 7.935E-01, 1.300E+00,-9.773E-02, 1.300E+00,-6.519E-01, 1.300E+00, 2.098E-01
 1.430E+00, 1.200E+02, 1.430E+00, 9.540E-01, 1.430E+00,-1.001E-01, 1.430E+00,-8.217E-01, 1.430E+00, 5.893E-02
 1.560E+00, 1.224E+02, 1.560E+00, 1.133E+00, 1.560E+00,-1.034E-01, 1.560E+00,-9.685E-01, 1.560E+00,-5.864E-02
 1.690E+00, 1.238E+02, 1.690E+00, 1.295E+00, 1.690E+00, 9.191E-02, 1.690E+00,-1.118E+00, 1.690E+00,-1.957E-01
 1.820E+00, 1.261E+02, 1.820E+00, 2.159E+00, 1.820E+00, 1.181E-01, 1.820E+00,-1.218E+00, 1.820E+00,-1.792E+00
